transaction_id,user_id,amount,merchant_category,location,timestamp,device_type,user_age,account_age_days,avg_transaction_amount,is_foreign_transaction,is_fraud,hour_of_day,day_of_week,is_weekend,month,is_month_end,is_month_start,time_since_last_transaction,transaction_count_24h,transaction_count_7d,transaction_count_30d,amount_zscore,amount_to_historic_mean_ratio,amount_rolling_mean_7d,amount_rolling_std_7d,location_changed,device_changed,merchant_category_changed,risk_score,amount_x_transaction_count,amount_x_is_foreign,transaction_count_x_is_foreign,is_rush_hour,is_off_hours,avg_amount_ratio,transaction_velocity
TXN_008015,USER_3121,57.96,Utilities,BE,2025-12-27 14:28:56.834179,Desktop,29,2293,22.27,0,0,14,5,1,12,1,0,891.5999648716667,1.0,1.0,1.0,-0.4200995834334598,0.43710407239819005,255.55,0.0,1,0,1,0.1,57.96,0.0,0.0,0,0,2.4907606360120327,0.0011214534477905018
TXN_006868,USER_2338,8.72,Online,UK,2025-06-08 01:28:56.734369,ATM,55,2384,4.68,0,0,1,6,1,6,0,0,24.0,1.0,1.0,1.0,0.0,0.897119341563786,8.72,0.0,1,1,1,0.2,8.72,0.0,0.0,0,1,1.535211267605634,0.04149377593360996
TXN_000011,USER_0864,6.03,Gas,FR,2025-10-13 10:45:56.084563,Tablet,46,1060,93.92,1,0,10,0,0,10,0,0,24.0,1.0,1.0,1.0,0.0,0.8577524893314367,6.03,0.0,1,1,1,0.30000000000000004,6.03,6.03,1.0,0,0,0.06352718078381796,0.04149377593360996
TXN_004576,USER_2365,189.68,Travel,BE,2025-12-04 20:48:56.540528,POS,56,3372,18.52,0,0,20,3,0,12,0,1,24.0,1.0,1.0,1.0,0.0,0.9947556114956996,189.68,0.0,1,1,1,0.1,189.68,0.0,0.0,0,0,9.717213114754099,0.04149377593360996
TXN_003410,USER_2246,17.22,Other,AU,2026-04-19 05:33:56.416256,POS,24,3478,36.63,1,0,5,6,1,4,0,0,3864.3500518952774,1.0,1.0,1.0,-1.5811835923192648,0.3036233800581856,72.93,0.0,1,1,1,0.4,17.22,17.22,1.0,0,1,0.45761360616529356,0.0002587690322222074
TXN_008544,USER_3164,28.72,Grocery,ES,2025-10-23 03:34:56.880701,Desktop,63,2941,20.52,0,0,3,3,0,10,0,0,24.0,1.0,1.0,1.0,0.0,0.9663526244952894,28.72,0.0,1,1,1,0.2,28.72,0.0,0.0,0,1,1.3345724907063197,0.04149377593360996
TXN_006378,USER_0284,255.14,Restaurant,AU,2026-04-26 00:55:56.691008,Tablet,73,1555,9.46,1,0,0,6,1,4,1,0,2237.7501559224997,1.0,1.0,1.0,inf,8.902302861130496,27.66,0.0,1,1,1,0.6,255.14,255.14,1.0,0,1,24.391969407265773,0.00044685744367355736
TXN_009156,USER_2594,24.22,Restaurant,IT,2025-06-02 08:20:56.931760,Desktop,40,1165,21.65,1,0,8,0,0,6,0,1,24.0,1.0,1.0,1.0,0.0,0.9603489294210944,24.22,0.0,1,1,1,0.30000000000000004,24.22,24.22,1.0,1,0,1.0693156732891833,0.04149377593360996
TXN_000613,USER_3171,39.74,Other,CA,2026-01-09 13:19:56.140078,Tablet,33,1866,33.46,0,0,13,4,0,1,0,0,2576.9333429975,1.0,1.0,1.0,0.3942734337511829,1.2579930357708136,47.0,0.0,1,1,1,0.1,39.74,0.0,0.0,0,0,1.1532211259431224,0.00038804309719828493
TXN_002870,USER_0219,7.43,Entertainment,US,2025-09-28 14:53:56.354005,POS,78,2206,30.46,0,0,14,6,1,9,1,0,1329.0499133780554,1.0,1.0,1.0,inf,0.8898203592814371,7.35,0.0,1,1,1,0.1,7.43,0.0,0.0,0,0,0.2361729179910998,0.0007523605801985755
